Tick ,Customer ID,State
491,3,Buy
491,2,Null Transaction
491,1,Null Transaction
490,4,Null Transaction
490,3,Null Transaction
490,2,Null Transaction
490,1,Buy
491,4,Null Transaction
491,3,Null Transaction
491,2,Null Transaction
491,1,Null Transaction
496,4,Null Transaction
496,3,Null Transaction
496,2,Null Transaction
496,1,Null Transaction
501,4,Null Transaction
501,3,Null Transaction
501,2,Null Transaction
501,1,Null Transaction
499,4,Buy
499,3,Null Transaction
499,2,Null Transaction
499,1,Null Transaction
495,4,Null Transaction
495,3,Null Transaction
495,2,Null Transaction
495,1,Buy
496,4,Null Transaction
496,3,Buy
496,2,Null Transaction
496,1,Null Transaction
496,4,Null Transaction
496,3,Buy
496,2,Null Transaction
496,1,Buy
501,4,Null Transaction
501,3,Null Transaction
501,2,Null Transaction
501,1,Null Transaction
507,4,Null Transaction
507,3,Buy
507,2,Buy
507,1,Null Transaction
508,4,Null Transaction
508,3,Null Transaction
508,2,Null Transaction
508,1,Null Transaction
501,4,Null Transaction
501,3,Buy
501,2,Buy
501,1,Buy
503,4,Null Transaction
503,3,Null Transaction
503,2,Null Transaction
503,1,Null Transaction
503,4,Null Transaction
503,3,Null Transaction
503,2,Null Transaction
503,1,Buy
509,4,Null Transaction
509,3,Null Transaction
509,2,Null Transaction
509,1,Null Transaction
507,4,Null Transaction
507,3,Null Transaction
507,2,Null Transaction
507,1,Null Transaction
512,4,Null Transaction
512,3,Null Transaction
512,2,Null Transaction
512,1,Buy
512,4,Buy
512,3,Buy
512,2,Null Transaction
512,1,Buy
515,4,Null Transaction
515,3,Buy
515,2,Buy
515,1,Buy
516,4,Null Transaction
516,3,Null Transaction
516,2,Buy
516,1,Buy
509,4,Null Transaction
509,3,Null Transaction
509,2,Buy
509,1,Null Transaction
516,4,Null Transaction
516,3,Buy
516,2,Null Transaction
516,1,Null Transaction
514,4,Null Transaction
514,3,Null Transaction
514,2,Buy
514,1,Null Transaction
512,4,Null Transaction
512,3,Null Transaction
512,2,Null Transaction
512,1,Null Transaction
514,4,Null Transaction
514,3,Null Transaction
514,2,Null Transaction
514,1,Null Transaction
523,4,Null Transaction
523,3,Null Transaction
523,2,Null Transaction
523,1,Null Transaction
524,4,Null Transaction
524,3,Null Transaction
524,2,Null Transaction
524,1,Buy
525,4,Null Transaction
525,3,Null Transaction
525,2,Buy
525,1,Null Transaction
517,4,Null Transaction
517,3,Null Transaction
517,2,Null Transaction
517,1,Buy
522,4,Buy
522,3,Null Transaction
522,2,Buy
522,1,Null Transaction
523,4,Null Transaction
523,3,Null Transaction
523,2,Buy
523,1,Buy
529,4,Null Transaction
529,3,Null Transaction
529,2,Null Transaction
529,1,Buy
525,4,Buy
525,3,Buy
525,2,Null Transaction
525,1,Null Transaction
525,4,Null Transaction
525,3,Null Transaction
525,2,Null Transaction
525,1,Null Transaction
527,4,Null Transaction
527,3,Null Transaction
527,2,Buy
527,1,Buy
532,4,Null Transaction
532,3,Null Transaction
532,2,Null Transaction
532,1,Null Transaction
529,4,Null Transaction
529,3,Null Transaction
529,2,Null Transaction
529,1,Null Transaction
531,4,Null Transaction
531,3,Null Transaction
531,2,Buy
531,1,Buy
527,4,Null Transaction
527,3,Buy
527,2,Null Transaction
527,1,Buy
537,4,Null Transaction
537,3,Null Transaction
537,2,Null Transaction
537,1,Null Transaction
530,4,Null Transaction
530,3,Null Transaction
530,2,Buy
530,1,Null Transaction
532,4,Null Transaction
532,3,Null Transaction
532,2,Null Transaction
532,1,Buy
540,4,Buy
540,3,Buy
540,2,Null Transaction
540,1,Buy
532,4,Buy
532,3,Null Transaction
532,2,Null Transaction
532,1,Null Transaction
534,4,Buy
534,3,Null Transaction
534,2,Null Transaction
534,1,Null Transaction
542,4,Null Transaction
542,3,Null Transaction
542,2,Null Transaction
542,1,Buy
537,4,Null Transaction
537,3,Null Transaction
537,2,Null Transaction
537,1,Null Transaction
536,4,Null Transaction
536,3,Null Transaction
536,2,Buy
536,1,Null Transaction
544,4,Null Transaction
544,3,Null Transaction
544,2,Buy
544,1,Null Transaction
539,4,Buy
539,3,Buy
539,2,Null Transaction
539,1,Buy
547,4,Buy
547,3,Null Transaction
547,2,Null Transaction
547,1,Null Transaction
541,4,Null Transaction
541,3,Null Transaction
541,2,Null Transaction
541,1,Null Transaction
547,4,Null Transaction
547,3,Null Transaction
547,2,Null Transaction
547,1,Null Transaction
545,4,Null Transaction
545,3,Null Transaction
545,2,Buy
545,1,Null Transaction
549,4,Buy
549,3,Buy
549,2,Null Transaction
549,1,Buy
548,4,Null Transaction
548,3,Buy
548,2,Buy
548,1,Null Transaction
545,4,Null Transaction
545,3,Null Transaction
545,2,Null Transaction
545,1,Buy
548,4,Buy
548,3,Null Transaction
548,2,Buy
548,1,Null Transaction
547,4,Null Transaction
547,3,Null Transaction
547,2,Buy
547,1,Buy
556,4,Null Transaction
556,3,Null Transaction
556,2,Null Transaction
556,1,Null Transaction
552,4,Null Transaction
552,3,Null Transaction
552,2,Null Transaction
552,1,Null Transaction
551,4,Null Transaction
551,3,Buy
