Tick ,Customer ID,Transaction Status,With
1403,2,Invalid Transaction,-->1403
1403,1,Invalid Transaction,-->1403
1404,4,Invalid Transaction,-->1404
1404,3,Invalid Transaction,-->1404
1404,2,Invalid Transaction,-->1404
1404,1,Invalid Transaction,-->1404
1405,4,Invalid Transaction,-->1405
1405,3,Invalid Transaction,-->1405
1405,2,Invalid Transaction,-->1405
1405,1,Invalid Transaction,-->1405
1406,4,Invalid Transaction,-->1406
1406,3,Invalid Transaction,-->1406
1406,2,Invalid Transaction,-->1406
1406,1,Invalid Transaction,-->1406
1407,4,Invalid Transaction,-->1407
1407,3,Invalid Transaction,-->1407
1407,2,Invalid Transaction,-->1407
1407,1,Invalid Transaction,-->1407
1408,4,Invalid Transaction,-->1408
1408,3,Invalid Transaction,-->1408
1408,2,Invalid Transaction,-->1408
1408,1,Invalid Transaction,-->1408
1409,4,Invalid Transaction,-->1409
1409,3,Invalid Transaction,-->1409
1409,2,Invalid Transaction,-->1409
1409,1,Invalid Transaction,-->1409
1410,4,Invalid Transaction,-->1410
1410,3,Invalid Transaction,-->1410
1410,2,Invalid Transaction,-->1410
1410,1,Invalid Transaction,-->1410
1411,4,Invalid Transaction,-->1411
1411,3,Invalid Transaction,-->1411
1411,2,Invalid Transaction,-->1411
1411,1,Invalid Transaction,-->1411
1412,4,Invalid Transaction,-->1412
1412,3,Invalid Transaction,-->1412
1412,2,Invalid Transaction,-->1412
1412,1,Invalid Transaction,-->1412
1413,4,Invalid Transaction,-->1413
1413,3,Invalid Transaction,-->1413
1413,2,Invalid Transaction,-->1413
1413,1,Invalid Transaction,-->1413
1414,4,Invalid Transaction,-->1414
1414,3,Invalid Transaction,-->1414
1414,2,Invalid Transaction,-->1414
1414,1,Invalid Transaction,-->1414
1415,4,Invalid Transaction,-->1415
1415,3,Invalid Transaction,-->1415
1415,2,Invalid Transaction,-->1415
1415,1,Invalid Transaction,-->1415
1416,4,Invalid Transaction,-->1416
1416,3,Invalid Transaction,-->1416
1416,2,Invalid Transaction,-->1416
1416,1,Invalid Transaction,-->1416
1417,4,Invalid Transaction,-->1417
1417,3,Invalid Transaction,-->1417
